pair,design,observable,Nh,n,xmin,winner,w_PL,w_TPL,w_exp,w_logn,w_stexp,R_TPL_exp,p_TPL_exp,R_PL_exp,p_PL_exp,decades,alpha_TPL,alpha_PL,gap,PASS
bo-bo,rs,argmax,6,382632,43.0,lognormal,1.9616795984610402e-134,7.259183374724891e-30,0.0,0.9999999557243806,4.427561936751675e-08,11.737911504938928,8.14735764823524e-32,7.19681273576015,6.163632068396193e-13,1.5850670496369414,2.1500993177129724,2.824312495852691,0.6742131781397185,False
bo-bo,ra,argmax,6,353139,51.0,lognormal,1.386913336328533e-93,5.554544200336149e-22,0.0,0.9999985019903554,1.4980096444797223e-06,9.707000630315699,2.8149874260956854e-22,5.8796273754937225,4.11191077623698e-09,1.6039717823032587,2.2605590606661017,2.98412398487942,0.7235649242133184,False
bo-bo,ss,argmax,6,401689,4.0,truncated_power_law,0.0,1.0,0.0,0.0,0.0,108.58610788692604,0.0,62.618999673638086,0.0,2.089021500795006,1.3725151935788462,1.818224944461063,0.44570975088221676,False
bo-bo,sa,argmax,6,381650,10.0,truncated_power_law,0.0,1.0,0.0,9.72251832325845e-262,6.435165935634414e-111,54.836445953583784,0.0,13.652691676151548,1.9455720665017332e-42,1.7275412570285564,1.3367466014577982,2.043121451878009,0.7063748504202108,False
bo-bo,rs,argmax,15,1244769,6.0,stretched_exponential,0.0,8.965596056855825e-23,0.0,1.220482200369222e-07,0.99999987795178,43.18554833031873,0.0,22.958535980254865,1.2108398050736115e-116,1.44973545423003,2.1815815310604676,2.987915039062499,0.8063335080020315,False
bo-bo,ra,argmax,15,1166736,6.0,stretched_exponential,0.0,2.408101988143927e-38,0.0,0.00020511601257336298,0.9997948839874268,38.151778872221776,0.0,9.22187899258618,2.9193880169243577e-20,1.4771212547196624,1.897965250720874,2.9638183593750003,1.0658531086541263,False
bo-bo,ss,argmax,15,1382743,4.0,stretched_exponential,0.0,1.025075399268644e-38,0.0,7.393418499927131e-28,1.0,53.649570630166394,0.0,6.342704263560852,2.2576656899981917e-10,1.3617278360175928,1.7508858629228694,2.8689697265625,1.1180838636396304,False
bo-bo,sa,argmax,15,1260400,5.0,truncated_power_law,0.0,1.0,0.0,1.133173204966635e-117,3.0676543269649876e-29,42.34717412710545,0.0,-9.299079476619779,1.416668382808797e-20,1.2648178230095364,1.5744598126831866,2.9236083984374996,1.349148585754313,False
bo-bo,rs,argmax,20,1657196,3.0,lognormal,0.0,4.6228428606696425e-143,0.0,1.0,2.9885648536930746e-27,57.27109452027343,0.0,-1.3166172517942716,0.18796695308060607,1.414973347970818,1.6681040387096386,2.8855957031249995,1.2174916644153608,False
bo-bo,ra,argmax,20,1471952,4.0,stretched_exponential,0.0,5.631637048538872e-09,0.0,4.231091489822737e-68,0.9999999943683628,44.16926925297732,0.0,-13.89859850992295,6.459378125998821e-44,1.255272505103306,1.5322752578782264,2.93818359375,1.4059083358717734,False
bo-bo,ss,argmax,20,1749559,2.0,lognormal,0.0,0.0,0.0,1.0,4.774388404442954e-279,64.97197272663139,0.0,-50.17441804449792,0.0,1.505149978319906,1.1874415971042216,2.585083007812499,1.3976414107082775,False
